Tweet_count,Username,Text,Created At,Retweets,Likes,Hashtags,Image URL,Category
1,Nutrition for Growth,"📢 J-35 avant le début du Sommet #N4G ! 

Hier, des hauts représentants et acteurs de la nutrition étaient invités par @CaroitEleonore, @GHAFrance  &amp;  @UNICEF_FR à l'@AssembleeNat  afin d'échanger sur les défis de la #malnutrition.

Découvrir les enjeux 👉https://t.co/zcC2zL5mw4 https://t.co/gfc5Rgmt7k",Wed Feb 19 17:30:02 +0000 2025,6,12,"N4G, malnutrition",https://pbs.twimg.com/media/GkKlZfWWMAAracF.jpg,healthy
2,Fabrice Mauriès,"Visite grâce au #FEF Jeunesse Autonome, cofinancé par @Franceaugabon, de la Société d'incubation et d'innovation agricole (#SIIAG) et 2 autres start-up #TchayeFish et #LaDelicieuse, des jeunes pousses spécialisées dans l'alimentation bio. Bravo à ces jeunes 🇬🇦 pleins d'initiative https://t.co/oW8lNJ7YGE",Fri Feb 21 18:50:06 +0000 2025,3,4,"FEF, SIIAG, TchayeFish, LaDelicieuse",https://pbs.twimg.com/media/GkU5XvNW4AAOdxh.jpg,mix
3,Nutrition for Growth,Félicitations à la #CôtedIvoire 🇨🇮pour  avoir fait de la nutrition une priorité nationale et merci pour son engagement dans les travaux préparatoires de #N4GParis en tant que co-présidente de la gouvernance internationale avec @SUN_Movement,Wed Feb 19 07:44:26 +0000 2025,2,8,"CôtedIvoire, N4GParis",N/A,healthy
4,Marie-Claude Varaillas,"A l’Assemblée nationale pour l’ouverture du colloque sur de la droit à l’alimentation avec @boris_tavernier et de nombreuses ONG

L’occasion d’annoncer avec mon collègue @PSavoldelli94 le dépôt de notre proposition de résolution pour une loi cadre. https://t.co/j684BxmNu3",Wed Feb 19 15:10:15 +0000 2025,2,7,,https://pbs.twimg.com/media/GkKNWp4XMAAhQCJ.jpg,mix
5,Stéphane Piednoir,"📺🍽️ Manger, c'est voter !

Depuis 1979, la famille Gaborit mise sur le bio avec passion et conviction ! Une agriculture respectueuse où chaque détail compte, du choix des vaches à l’alimentation naturelle. Un modèle inspirant pour l’avenir !

Aujourd’hui, nous retrouvons les https://t.co/TDjz1tTrXD",Fri Feb 21 14:25:16 +0000 2025,2,8,,N/A,mix
6,Le Renouveau,"La Première dame du pays, @Burundi1stLady, poursuit, ce lundi 24 février 2025 à l'école Socle du Savoir en commune Ndava dans la @MwaroProvince, la campagne de sensibilisation des jeunes adolescents sur la santé reproductive, la lutte contre le VIH/Sida, la Mpox et la nutrition. https://t.co/j8otf33bGg",Mon Feb 24 12:29:22 +0000 2025,5,6,,https://pbs.twimg.com/media/GkjYZDLawAAtEyN.jpg,healthy
7,Nani Mambo,"Bande d’hypocrites! Trump s’est allié au gars antivax-ex-héroïnomane au cerveau rongé qui veut servir de l’alimentation saine dans les écoles !  Pourtant, Trump a modifié le programme santé de Michelle Obama qui faisait ça (et Biden a ramené ce qui a été changé par Trump). https://t.co/SYMNm0WsS1",Sat Feb 15 15:12:04 +0000 2025,2,10,,https://pbs.twimg.com/media/Gj1naA3XoAAQH5E.jpg,healthy
8,Fanny,"@verity_france on y est déjà : tu refuses un vaccin expérimental ARNm, tu es exclu de la société ; tu ne peux t'acheter la voiture que le Pouvoir veut te voir posséder, tu es exclu de la société.

Bientôt les commerces d'état avec tickets de rationnement, qu'on appellerait chèque alimentation https://t.co/bq2vf5tGNu",Mon Feb 17 10:45:52 +0000 2025,19,75,,https://pbs.twimg.com/media/Gj-9qWjWAAAy-Jk.png,mix
9,Nutrition for Growth,"Du 3 au 7 fév. @byypont était en mission aux 🇺🇸 &amp; 🇨🇦 afin de mobiliser les acteurs clés pour renforcer les engagements politiques et financiers en vue de #N4GParis. Un déplacement essentiel 🎯 pour faire avancer la lutte contre la malnutrition.

🎥 Plus de détails en vidéo ⬇️ https://t.co/ZCnLMDx0GG",Fri Feb 21 15:02:01 +0000 2025,11,12,N4GParis,N/A,healthy
10,Tendre être.,"Le fait d’avoir revu mon alimentation a fait évoluer mon rapport à l’islam premier degré, même si de base je suis qlq un qui voit l’islam partout et a conscience que l’islam embrasse toute chose mais je m’aperçois que sur pleins d’aspects ça m’aide. Déjà ma consommation a",Mon Feb 17 20:43:51 +0000 2025,397,3047,,N/A,mix
