Tweet_count,Original_Text,Translated_Text,Category,Sentiment
1,"📢 J-35 avant le début du Sommet #N4G ! 

Hier, des hauts représentants et acteurs de la nutrition étaient invités par @CaroitEleonore, @GHAFrance  &amp;  @UNICEF_FR à l'@AssembleeNat  afin d'échanger sur les défis de la #malnutrition.

Découvrir les enjeux 👉https://t.co/zcC2zL5mw4 https://t.co/gfc5Rgmt7k","📢 J-35 avant le début du Sommet #N4G ! 

Hier, des hauts représentants et acteurs de la nutrition étaient invités par @CaroitEleonore, @GHAFrance  &amp;  @UNICEF_FR à l'@AssembleeNat  afin d'échanger sur les défis de la #malnutrition.

Découvrir les enjeux 👉https://t.co/zcC2zL5mw4 https://t.co/gfc5Rgmt7k",healthy,neutral
2,"Visite grâce au #FEF Jeunesse Autonome, cofinancé par @Franceaugabon, de la Société d'incubation et d'innovation agricole (#SIIAG) et 2 autres start-up #TchayeFish et #LaDelicieuse, des jeunes pousses spécialisées dans l'alimentation bio. Bravo à ces jeunes 🇬🇦 pleins d'initiative https://t.co/oW8lNJ7YGE","Visite grâce au #FEF Jeunesse Autonome, cofinancé par @Franceaugabon, de la Société d'incubation et d'innovation agricole (#SIIAG) et 2 autres start-up #TchayeFish et #LaDelicieuse, des jeunes pousses spécialisées dans l'alimentation bio. Bravo à ces jeunes 🇬🇦 pleins d'initiative https://t.co/oW8lNJ7YGE",mix,positive
3,Félicitations à la #CôtedIvoire 🇨🇮pour  avoir fait de la nutrition une priorité nationale et merci pour son engagement dans les travaux préparatoires de #N4GParis en tant que co-présidente de la gouvernance internationale avec @SUN_Movement,Félicitations à la #CôtedIvoire 🇨🇮pour  avoir fait de la nutrition une priorité nationale et merci pour son engagement dans les travaux préparatoires de #N4GParis en tant que co-présidente de la gouvernance internationale avec @SUN_Movement,healthy,positive
4,"A l’Assemblée nationale pour l’ouverture du colloque sur de la droit à l’alimentation avec @boris_tavernier et de nombreuses ONG

L’occasion d’annoncer avec mon collègue @PSavoldelli94 le dépôt de notre proposition de résolution pour une loi cadre. https://t.co/j684BxmNu3","A l’Assemblée nationale pour l’ouverture du colloque sur de la droit à l’alimentation avec @boris_tavernier et de nombreuses ONG

L’occasion d’annoncer avec mon collègue @PSavoldelli94 le dépôt de notre proposition de résolution pour une loi cadre. https://t.co/j684BxmNu3",mix,positive
5,"📺🍽️ Manger, c'est voter !

Depuis 1979, la famille Gaborit mise sur le bio avec passion et conviction ! Une agriculture respectueuse où chaque détail compte, du choix des vaches à l’alimentation naturelle. Un modèle inspirant pour l’avenir !

Aujourd’hui, nous retrouvons les https://t.co/TDjz1tTrXD","📺🍽️ Manger, c'est voter !

Depuis 1979, la famille Gaborit mise sur le bio avec passion et conviction ! Une agriculture respectueuse où chaque détail compte, du choix des vaches à l’alimentation naturelle. Un modèle inspirant pour l’avenir !

Aujourd’hui, nous retrouvons les https://t.co/TDjz1tTrXD",mix,positive
6,"La Première dame du pays, @Burundi1stLady, poursuit, ce lundi 24 février 2025 à l'école Socle du Savoir en commune Ndava dans la @MwaroProvince, la campagne de sensibilisation des jeunes adolescents sur la santé reproductive, la lutte contre le VIH/Sida, la Mpox et la nutrition. https://t.co/j8otf33bGg","La Première dame du pays, @Burundi1stLady, poursuit, ce lundi 24 février 2025 à l'école Socle du Savoir en commune Ndava dans la @MwaroProvince, la campagne de sensibilisation des jeunes adolescents sur la santé reproductive, la lutte contre le VIH/Sida, la Mpox et la nutrition. https://t.co/j8otf33bGg",healthy,positive
7,"Bande d’hypocrites! Trump s’est allié au gars antivax-ex-héroïnomane au cerveau rongé qui veut servir de l’alimentation saine dans les écoles !  Pourtant, Trump a modifié le programme santé de Michelle Obama qui faisait ça (et Biden a ramené ce qui a été changé par Trump). https://t.co/SYMNm0WsS1","Bande d’hypocrites! Trump s’est allié au gars antivax-ex-héroïnomane au cerveau rongé qui veut servir de l’alimentation saine dans les écoles !  Pourtant, Trump a modifié le programme santé de Michelle Obama qui faisait ça (et Biden a ramené ce qui a été changé par Trump). https://t.co/SYMNm0WsS1",healthy,negative
8,"@verity_france on y est déjà : tu refuses un vaccin expérimental ARNm, tu es exclu de la société ; tu ne peux t'acheter la voiture que le Pouvoir veut te voir posséder, tu es exclu de la société.

Bientôt les commerces d'état avec tickets de rationnement, qu'on appellerait chèque alimentation https://t.co/bq2vf5tGNu","@verity_france on y est déjà : tu refuses un vaccin expérimental ARNm, tu es exclu de la société ; tu ne peux t'acheter la voiture que le Pouvoir veut te voir posséder, tu es exclu de la société.

Bientôt les commerces d'état avec tickets de rationnement, qu'on appellerait chèque alimentation https://t.co/bq2vf5tGNu",mix,negative
9,"Du 3 au 7 fév. @byypont était en mission aux 🇺🇸 &amp; 🇨🇦 afin de mobiliser les acteurs clés pour renforcer les engagements politiques et financiers en vue de #N4GParis. Un déplacement essentiel 🎯 pour faire avancer la lutte contre la malnutrition.

🎥 Plus de détails en vidéo ⬇️ https://t.co/ZCnLMDx0GG","Du 3 au 7 fév. @byypont était en mission aux 🇺🇸 &amp; 🇨🇦 afin de mobiliser les acteurs clés pour renforcer les engagements politiques et financiers en vue de #N4GParis. Un déplacement essentiel 🎯 pour faire avancer la lutte contre la malnutrition.

🎥 Plus de détails en vidéo ⬇️ https://t.co/ZCnLMDx0GG",healthy,positive
10,"Le fait d’avoir revu mon alimentation a fait évoluer mon rapport à l’islam premier degré, même si de base je suis qlq un qui voit l’islam partout et a conscience que l’islam embrasse toute chose mais je m’aperçois que sur pleins d’aspects ça m’aide. Déjà ma consommation a","Le fait d’avoir revu mon alimentation a fait évoluer mon rapport à l’islam premier degré, même si de base je suis qlq un qui voit l’islam partout et a conscience que l’islam embrasse toute chose mais je m’aperçois que sur pleins d’aspects ça m’aide. Déjà ma consommation a",mix,positive
11,"Notre ministre de la santé vend des hotdogs pour Pfizer.
Le leur vend un programme pour améliorer l'alimentation et réduire les maladies chroniques.
Enfin, un ministre de la santé qui a l'air en santé. https://t.co/8FVCZExQCb","Notre ministre de la santé vend des hotdogs pour Pfizer.
Le leur vend un programme pour améliorer l'alimentation et réduire les maladies chroniques.
Enfin, un ministre de la santé qui a l'air en santé. https://t.co/8FVCZExQCb",mix,positive
12,"Les français sont sauvés ! Si l'exploitation des #kholkozes ne parvient plus à nous nourrir, nous pourrons toujours compter sur la ""#sécu de l'alimentation"" ? Bienvenue en #absurdistan ➡️ Stop au #social étatisme ! Vite une @Nouv_Energie avec @davidlisnard.","Les français sont sauvés ! Si l'exploitation des #kholkozes ne parvient plus à nous nourrir, nous pourrons toujours compter sur la ""#sécu de l'alimentation"" ? Bienvenue en #absurdistan ➡️ Stop au #social étatisme ! Vite une @Nouv_Energie avec @davidlisnard.",mix,positive
13,"@AnnieGenevard @LaTribune La France importe 20% de son alimentation!

Elle consacre 10% de terres cultivées pour produire des biocarburants, sacrifie des terres pour implanter des fermes solaires et des éoliennes.

Que la Suisse importe du poisson, cela se comprend, mais la France!

Revenons au bons sens https://t.co/h1miR2S5Rm","@AnnieGenevard @LaTribune La France importe 20% de son alimentation!

Elle consacre 10% de terres cultivées pour produire des biocarburants, sacrifie des terres pour implanter des fermes solaires et des éoliennes.

Que la Suisse importe du poisson, cela se comprend, mais la France!

Revenons au bons sens https://t.co/h1miR2S5Rm",mix,positive
14,"C’est complément fou, il veut enlever les produits toxiques dans l’alimentation. C’est un dangereux ministre  de la santé d’après certains 🙄.  https://t.co/oX5NjbYNr4","C’est complément fou, il veut enlever les produits toxiques dans l’alimentation. C’est un dangereux ministre  de la santé d’après certains 🙄.  https://t.co/oX5NjbYNr4",mix,negative
15,Diabetes Complications https://t.co/PzVheMbc8M #Diabetes #DiabetesComplications https://t.co/0NpUdlx6In,Diabetes Complications https://t.co/PzVheMbc8M #Diabetes #DiabetesComplications https://t.co/0NpUdlx6In,mix,neutral
16,"@AlexisPhilo La droite ou la gauche, du pareil au même pour moi. Ils viennent du même endroit et ne font que de se chamailler pour mieux nous diviser/divertir... Opération réussie, plus personne n'y croit mais continue de voter.

Si seulement ils comprenaient ! 👇 https://t.co/uoggJqYyrI","@AlexisPhilo La droite ou la gauche, du pareil au même pour moi. Ils viennent du même endroit et ne font que de se chamailler pour mieux nous diviser/divertir... Opération réussie, plus personne n'y croit mais continue de voter.

Si seulement ils comprenaient ! 👇 https://t.co/uoggJqYyrI",mix,positive
17,"#SalonDeLAgriculture 

🗣️ ""À trop contraindre nos agriculteurs, on perd de la capacité à produire notre alimentation chez nous. Sur la transition écologique, […] nous devons les accompagner, on ne peut pas laisser les gens sans solutions"" @EmmanuelMacron  #SIA2025 https://t.co/DiwzvMH4zg","#SalonDeLAgriculture 

🗣️ ""À trop contraindre nos agriculteurs, on perd de la capacité à produire notre alimentation chez nous. Sur la transition écologique, […] nous devons les accompagner, on ne peut pas laisser les gens sans solutions"" @EmmanuelMacron  #SIA2025 https://t.co/DiwzvMH4zg",mix,negative
18,"Héros des déserts et des hauts plateaux, les camélidés contribuent à la sécurité alimentaire, à la nutrition et à la croissance économique dans le monde entier. 
 
Voici 5️⃣ raisons pour lesquelles nous devons reconnaître leur valeur !  
 
#AnnéeDesCamélidés https://t.co/k98QRS3uu0","Héros des déserts et des hauts plateaux, les camélidés contribuent à la sécurité alimentaire, à la nutrition et à la croissance économique dans le monde entier. 
 
Voici 5️⃣ raisons pour lesquelles nous devons reconnaître leur valeur !  
 
#AnnéeDesCamélidés https://t.co/k98QRS3uu0",healthy,positive
19,"Les mangroves assurent :

🌊une protection côtière
🫧le stockage du carbone
🪵du bois
🦀poissons, crabes, palourdes
💊médicaments

... et sont essentiels pour la nutrition et la sécurité alimentaire de millions de personnes dans le monde.

Nous devons les protéger ! https://t.co/oEJwKMs8Kw","Les mangroves assurent :

🌊une protection côtière
🫧le stockage du carbone
🪵du bois
🦀poissons, crabes, palourdes
💊médicaments

... et sont essentiels pour la nutrition et la sécurité alimentaire de millions de personnes dans le monde.

Nous devons les protéger ! https://t.co/oEJwKMs8Kw",healthy,positive
